position_id,company_id,job_title,required_skills,min_experience,max_experience,education_requirement,salary_range_min,salary_range_max,job_type,remote_allowed,posted_date,application_deadline
1,33,UI/UX Designer,Communication|Project Management|Leadership|Python,4,6,Master,1374,3061,Full-time,True,2024-01-07,2024-03-03
2,80,QA Engineer,Python|JavaScript|SQL,2,10,Any,1988,4549,Contract,True,2024-01-14,2024-03-10
3,100,QA Engineer,Java|Python|Communication,3,5,Bachelor,631,3676,Full-time,False,2024-01-21,2024-03-17
4,6,Data Scientist,Node.js|JavaScript|Project Management|Agile,4,11,Any,1124,5689,Part-time,False,2024-01-28,2024-03-24
5,83,Mobile Developer,Project Management|Agile|Leadership,0,9,Any,1100,5997,Full-time,True,2024-02-04,2024-03-31
6,31,Frontend Developer,JavaScript|Problem Solving|Java|Machine Learning,0,8,Any,1172,2325,Full-time,False,2024-02-11,2024-04-07
7,66,Marketing Specialist,Angular|Leadership|Data Analysis,4,13,Bachelor,833,3120,Full-time,False,2024-02-18,2024-04-14
8,18,HR Specialist,Java|Problem Solving|Machine Learning|Scrum,2,14,Master,1598,2107,Full-time,False,2024-02-25,2024-04-21
9,28,Project Manager,Communication|Leadership|Machine Learning|Agile|Java,2,5,Master,1935,4678,Full-time,False,2024-03-03,2024-04-28
10,68,HR Specialist,Agile|Communication|Python|Project Management,0,8,Bachelor,535,7193,Full-time,False,2024-03-10,2024-05-05
11,65,Backend Developer,Machine Learning|Scrum|Project Management|Java,0,7,Master,1277,2334,Part-time,True,2024-03-17,2024-05-12
12,80,Mobile Developer,Leadership|JavaScript|Communication,3,10,Bachelor,722,4039,Part-time,True,2024-03-24,2024-05-19
13,45,Sales Manager,Agile|Angular|Data Analysis|Problem Solving|React,4,9,Bachelor,1029,2803,Contract,False,2024-03-31,2024-05-26
14,58,Business Analyst,Project Management|Angular|Node.js,2,11,Master,740,3848,Full-time,False,2024-04-07,2024-06-02
15,47,Mobile Developer,SQL|Communication|Java|Project Management,3,5,Any,633,2766,Contract,True,2024-04-14,2024-06-09
16,66,DevOps Engineer,Angular|SQL|Communication|Data Analysis|Agile,2,9,Bachelor,890,7373,Part-time,True,2024-04-21,2024-06-16
17,52,Software Engineer,Java|Agile|Angular,0,6,Bachelor,601,7504,Part-time,False,2024-04-28,2024-06-23
18,36,Software Engineer,Leadership|Java|Communication|Python,4,6,Bachelor,1180,5527,Full-time,False,2024-05-05,2024-06-30
19,1,Sales Manager,Node.js|React|Problem Solving|Data Analysis,1,6,Bachelor,997,4306,Full-time,False,2024-05-12,2024-07-07
20,39,Mobile Developer,Angular|Data Analysis|Python|JavaScript,4,13,Master,1010,4829,Contract,True,2024-05-19,2024-07-14
21,87,UI/UX Designer,JavaScript|Java|Agile,1,14,Master,1202,3488,Part-time,False,2024-05-26,2024-07-21
22,90,Software Engineer,SQL|Machine Learning|Python|Node.js,3,7,Bachelor,1493,6129,Contract,False,2024-06-02,2024-07-28
23,75,Financial Analyst,Leadership|Data Analysis|Project Management|Java|React,1,8,Any,1448,5566,Contract,False,2024-06-09,2024-08-04
24,1,HR Specialist,Python|Java|Communication|JavaScript|Machine Learning,1,9,Master,1866,4373,Contract,False,2024-06-16,2024-08-11
25,75,Project Manager,Project Management|Node.js|Data Analysis|Leadership,3,8,Any,1340,2836,Full-time,False,2024-06-23,2024-08-18
26,88,Product Manager,Machine Learning|JavaScript|Angular,4,8,Any,505,5309,Part-time,False,2024-06-30,2024-08-25
27,74,Business Analyst,Java|Machine Learning|Python,3,9,Bachelor,1457,7735,Contract,False,2024-07-07,2024-09-01
